Model:GBQ L-05SLA, Latitude:31.823635,Longtitude:117.118226,SeaHeight:128,NorthAngle:0,LightBeamNum:-9999,Gate:100,SumShots:20000,PulseWidth:300,CNR:2,RangeResolution:30,ScanMode:PPI,From:0,To:350,Step:10,FixAngle:2,StartRange:15
Date_time,Temperature,Humidity,Pressure,Azimuth,Pitch,Distance,HWindSpeed(m/s),HWindDirection(бу),VWindSpeed (m/s)
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,1995,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2025,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2055,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2085,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2115,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2145,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2175,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2205,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2235,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2265,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2295,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2325,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2355,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2385,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2415,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2445,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2475,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2505,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2535,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2565,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2595,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2625,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2655,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2685,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2715,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2745,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2775,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2805,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2835,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2865,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2895,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2925,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2955,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,2985,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3015,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3045,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3075,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3105,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3135,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3165,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3195,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3225,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3255,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3285,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3315,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3345,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3375,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3405,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3435,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3465,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3495,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3525,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3555,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3585,-9999,-9999,-9999
